Gender,Age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,68,No,2,Not Graduate,No,2230,5127,87838,360,1,Rural,1
Female,64,No,0,Graduate,No,5526,2946,79508,360,1,Urban,1
Male,64,Yes,3+,Graduate,No,11287,4311,84023,360,1,Rural,1
Male,21,Yes,1,Not Graduate,No,1545,2595,134140,360,1,Urban,1
Male,24,Yes,2,Not Graduate,No,6417,1272,202725,360,1,Semiurban,1
Female,62,No,0,Graduate,No,2243,735,33463,180,1,Urban,1
Male,52,Yes,0,Graduate,No,5168,823,89962,360,1,Urban,1
Male,65,Yes,3+,Graduate,No,2514,1116,59094,360,1,Semiurban,1
Male,26,No,3+,Graduate,No,3041,3002,86122,180,1,Rural,1
Female,25,Yes,0,Graduate,No,3227,1695,115970,60,1,Rural,1
Male,69,Yes,0,Graduate,Yes,8240,428,256497,360,0,Rural,1
Male,62,No,0,Not Graduate,No,3445,2335,86772,360,0,Semiurban,1
Male,34,Yes,1,Graduate,No,2970,4808,103979,360,1,Urban,1
Male,34,No,0,Not Graduate,No,3464,511,68489,360,1,Semiurban,1
Female,66,Yes,0,Graduate,No,11357,2806,67072,120,1,Semiurban,1
Male,50,No,0,Not Graduate,Yes,5095,334,65807,360,1,Urban,1
Female,49,No,1,Graduate,No,2524,897,74085,360,1,Rural,1
Female,25,Yes,0,Graduate,No,8945,647,81642,360,0,Semiurban,0
Female,36,Yes,0,Graduate,No,4057,3126,174314,360,1,Semiurban,1
Male,55,No,1,Graduate,No,2169,6847,85948,360,1,Urban,1
Female,20,No,1,Not Graduate,Yes,4611,4228,123257,180,1,Urban,1
Male,22,No,0,Graduate,No,3327,4115,111038,360,1,Rural,1
Female,30,No,0,Graduate,No,478,858,144479,360,0,Rural,0
Female,64,Yes,1,Graduate,No,4440,2882,46127,360,1,Semiurban,1
Female,63,Yes,2,Not Graduate,No,1909,2189,113233,240,1,Rural,1
Female,48,No,1,Graduate,No,1696,706,108212,120,1,Urban,1
Female,33,Yes,3+,Graduate,No,1134,4276,94851,180,1,Rural,1
Female,67,Yes,1,Graduate,No,3932,2558,151829,180,1,Semiurban,1
Female,49,Yes,2,Graduate,No,3332,1517,94057,120,1,Rural,1
Female,39,Yes,0,Not Graduate,No,6434,3487,140304,360,1,Semiurban,1
Male,46,Yes,0,Graduate,Yes,2256,2035,105664,360,1,Semiurban,1
Male,39,No,0,Graduate,No,2727,4726,108982,360,0,Urban,1
Female,60,Yes,0,Graduate,Yes,11941,8187,112024,360,1,Urban,1
Female,20,Yes,1,Graduate,No,1113,1446,91149,60,0,Urban,0
Female,27,No,0,Graduate,No,7551,1433,184534,360,1,Semiurban,1
Male,59,No,1,Graduate,Yes,2280,1220,151787,360,0,Semiurban,1
Female,38,Yes,0,Graduate,Yes,23596,1833,96392,360,1,Rural,1
Male,33,Yes,0,Graduate,No,5615,5328,105703,360,1,Urban,1
Male,29,No,3+,Graduate,No,2497,773,119658,360,1,Rural,1
Male,19,No,0,Graduate,No,1577,604,136492,360,1,Rural,1
Male,58,No,0,Graduate,No,4654,2183,188166,360,1,Semiurban,1
Male,41,No,0,Not Graduate,No,1157,1754,141876,120,1,Urban,1
Female,52,No,2,Not Graduate,No,5503,2109,92063,360,1,Urban,1
Female,47,Yes,0,Graduate,No,1577,377,71181,360,0,Urban,0
Female,47,No,1,Graduate,No,2034,6204,146806,180,0,Semiurban,1
Female,64,Yes,0,Graduate,Yes,677,2130,110814,360,1,Semiurban,1
Female,52,No,1,Not Graduate,No,3936,12804,66634,240,0,Urban,1
Male,36,No,0,Not Graduate,No,4305,2516,138876,240,1,Urban,1
Female,67,Yes,1,Graduate,No,3703,1311,181057,60,1,Rural,1
Female,25,Yes,2,Graduate,No,1295,2217,98996,240,1,Semiurban,1
Male,43,Yes,1,Graduate,No,8610,5905,184728,360,1,Urban,1
Female,66,Yes,1,Graduate,Yes,3303,1015,134118,360,1,Rural,1
Male,57,No,1,Not Graduate,Yes,2662,2885,62103,360,0,Rural,0
Female,24,Yes,1,Graduate,No,5895,2566,116893,360,1,Semiurban,1
Male,47,No,0,Not Graduate,No,2795,2908,48607,360,1,Urban,1
Female,24,Yes,1,Graduate,No,4744,873,113733,360,1,Urban,1
Female,20,No,0,Graduate,No,2279,3011,65522,180,1,Semiurban,1
Male,18,No,0,Graduate,No,5941,2835,106609,360,1,Urban,1
Male,53,No,0,Graduate,No,5850,6332,129446,360,1,Urban,1
Male,42,Yes,0,Not Graduate,Yes,2774,7467,78018,360,1,Rural,1
Male,54,No,0,Graduate,No,3989,2436,194112,180,0,Semiurban,1
Male,18,Yes,1,Graduate,No,3587,2171,68282,240,1,Semiurban,1
Male,32,Yes,0,Graduate,No,3377,838,41962,360,1,Semiurban,1
Male,54,Yes,0,Graduate,No,1785,1544,97581,240,0,Urban,1
Male,30,Yes,1,Graduate,No,1942,1255,170429,360,1,Semiurban,1
Female,57,No,0,Not Graduate,Yes,2889,3946,97890,360,1,Rural,1
Female,25,Yes,1,Graduate,No,3794,2311,77869,360,0,Urban,1
Male,22,No,1,Graduate,No,2142,824,51048,360,1,Rural,1
Female,26,No,3+,Not Graduate,No,3672,922,78543,120,1,Urban,1
Female,18,Yes,1,Graduate,No,921,13926,62513,360,1,Urban,1
Female,53,No,0,Graduate,No,3647,1283,108821,360,1,Rural,1
Female,52,Yes,0,Graduate,No,3813,3107,112573,180,1,Rural,1
Male,19,Yes,0,Graduate,No,5950,1840,67536,180,1,Urban,1
Female,57,Yes,3+,Not Graduate,No,8549,1481,86638,360,0,Urban,1
Male,40,No,0,Graduate,No,5489,4619,176042,360,1,Urban,1
Female,26,No,0,Graduate,No,10704,1256,83251,360,1,Semiurban,1
Female,51,Yes,0,Graduate,No,3577,1420,82410,360,1,Semiurban,1
Female,63,Yes,2,Graduate,No,3743,5431,106362,180,1,Semiurban,1
Male,31,No,0,Graduate,No,5907,1329,56164,360,1,Urban,1
Female,21,Yes,3+,Graduate,No,3414,587,144339,180,1,Urban,1
Male,47,No,0,Not Graduate,No,2985,733,83680,360,0,Urban,0
Female,48,Yes,0,Graduate,No,8304,2728,62116,360,1,Semiurban,1
Male,55,Yes,0,Graduate,No,5620,1031,122383,180,1,Semiurban,1
Female,28,No,2,Graduate,No,5409,4464,81219,360,1,Semiurban,1
Male,52,Yes,2,Graduate,No,2167,1838,69540,360,1,Semiurban,1
Male,25,No,0,Graduate,Yes,6413,3327,101626,120,1,Semiurban,1
Female,20,No,0,Graduate,No,3825,2399,150348,360,1,Rural,1
Male,31,Yes,1,Graduate,No,2010,4220,83760,360,0,Semiurban,0
Female,30,Yes,0,Graduate,No,5531,8159,67099,360,1,Semiurban,1
Female,62,No,0,Graduate,No,1773,2840,40202,360,0,Semiurban,1
Female,49,No,0,Graduate,No,858,2731,55269,60,0,Rural,0
Female,51,Yes,0,Graduate,No,1232,4401,81393,240,1,Rural,1
Female,62,No,0,Not Graduate,Yes,3136,1151,58514,360,0,Semiurban,0
Female,36,Yes,0,Graduate,No,9178,2788,74643,240,0,Urban,1
Female,55,Yes,0,Not Graduate,Yes,4392,864,213460,360,1,Rural,1
Female,33,No,2,Graduate,No,3423,985,161531,240,1,Semiurban,1
Female,19,Yes,0,Not Graduate,No,8034,1235,71165,180,0,Rural,0
Female,57,No,1,Graduate,No,4945,4988,104322,360,0,Urban,1
Female,34,Yes,0,Graduate,Yes,6730,1616,64073,120,1,Rural,1
Male,51,No,1,Not Graduate,No,6524,968,184396,360,1,Semiurban,1
Male,59,Yes,0,Graduate,No,3016,3318,101565,360,1,Rural,1
Female,33,Yes,1,Graduate,No,3168,484,150254,360,1,Rural,1
Female,55,No,0,Not Graduate,No,2208,404,72066,120,1,Rural,1
Female,19,Yes,2,Graduate,No,5993,1476,187306,180,1,Urban,1
Female,19,Yes,0,Graduate,No,1743,1458,82786,360,1,Urban,1
Female,43,Yes,0,Graduate,No,2139,4166,48712,360,1,Semiurban,1
Female,30,Yes,3+,Graduate,No,3491,4723,92096,360,1,Urban,1
Female,64,No,1,Graduate,No,3889,1667,75000,360,1,Rural,1
Female,48,Yes,0,Not Graduate,Yes,5177,1530,147566,360,1,Semiurban,1
Male,51,Yes,3+,Graduate,No,3551,971,77020,360,1,Urban,1
Female,56,Yes,0,Not Graduate,No,2927,1655,122409,360,1,Semiurban,1
Male,20,Yes,0,Graduate,No,5618,233,75139,360,1,Semiurban,1
Female,25,Yes,3+,Not Graduate,No,6301,1260,70380,360,1,Urban,1
Female,40,Yes,0,Graduate,Yes,1313,1694,98747,360,1,Urban,1
Male,31,Yes,2,Not Graduate,No,6916,964,122112,240,0,Urban,1
Female,44,No,0,Graduate,No,2992,1080,52882,360,1,Semiurban,1
Male,46,No,1,Not Graduate,No,9498,1423,142796,360,1,Urban,1
Female,56,Yes,1,Graduate,No,2464,1798,143605,360,1,Urban,1
Female,56,Yes,3+,Graduate,No,2004,3605,87393,360,1,Rural,1
